# Step   Time     sin1        cos1        sin2        cos2        h1          h2 
2446  24.4600    0.054111    0.998535   -0.340399   -0.940281    0.001465    1.941746
2447  24.4700    0.041042    0.999157   -0.293566   -0.955939    0.000843    1.956781
2448  24.4800    0.027615    0.999619   -0.246016   -0.969266    0.000381    1.969647
2449  24.4900    0.013886    0.999904   -0.197863   -0.980230    0.000096    1.980326
2450  24.5000   -0.000084    1.000000   -0.149225   -0.988803    0.000000    1.988803
2451  24.5100   -0.014238    0.999899   -0.100221   -0.994965    0.000101    1.995067
2452  24.5200   -0.028516    0.999593   -0.050970   -0.998700    0.000407    1.999107
2453  24.5300   -0.042857    0.999081   -0.001593   -0.999999    0.000919    2.000918
2454  24.5400   -0.057201    0.998363    0.047790   -0.998857    0.001637    2.000495
2455  24.5500   -0.071487    0.997442    0.097055   -0.995279    0.002558    1.997837
2456  24.5600   -0.085657    0.996325    0.146083   -0.989272    0.003675    1.992948
2457  24.5700   -0.099648    0.995023    0.194752   -0.980852    0.004977    1.985830
2458  24.5800   -0.113402    0.993549    0.242942   -0.970041    0.006451    1.976492
2459  24.5900   -0.126860    0.991921    0.290531   -0.956865    0.008079    1.964945
2460  24.6000   -0.139962    0.990157    0.337403   -0.941360    0.009843    1.951203
2461  24.6100   -0.152652    0.988280    0.383441   -0.923565    0.011720    1.935285
2462  24.6200   -0.164872    0.986315    0.428530   -0.903527    0.013685    1.917213
2463  24.6300   -0.176568    0.984288    0.472559   -0.881299    0.015712    1.897010
2464  24.6400   -0.187687    0.982229    0.515421   -0.856937    0.017771    1.874708
2465  24.6500   -0.198175    0.980167    0.557011   -0.830505    0.019833    1.850339
2466  24.6600   -0.207985    0.978132    0.597230   -0.802070    0.021868    1.823938
2467  24.6700   -0.217066    0.976157    0.635983   -0.771703    0.023843    1.795546
2468  24.6800   -0.225375    0.974272    0.673181   -0.739477    0.025728    1.765205
2469  24.6900   -0.232867    0.972509    0.708740   -0.705469    0.027491    1.732961
2470  24.7000   -0.239500    0.970896    0.742581   -0.669756    0.029104    1.698860
2471  24.7100   -0.245236    0.969463    0.774629   -0.632416    0.030537    1.662953
2472  24.7200   -0.250036    0.968237    0.804815   -0.593525    0.031763    1.625289
2473  24.7300   -0.253864    0.967240    0.833075   -0.553161    0.032760    1.585921
2474  24.7400   -0.256685    0.966495    0.859345   -0.511396    0.033505    1.544901
2475  24.7500   -0.258465    0.966021    0.883568   -0.468302    0.033979    1.502282
2476  24.7600   -0.259169    0.965832    0.905686   -0.423948    0.034168    1.458117
2477  24.7700   -0.258765    0.965940    0.925643   -0.378399    0.034060    1.412459
2478  24.7800   -0.257217    0.966354    0.943380   -0.331715    0.033646    1.365361
2479  24.7900   -0.254489    0.967076    0.958838   -0.283953    0.032924    1.316878
2480  24.8000   -0.250543    0.968105    0.971955   -0.235167    0.031895    1.267062
2481  24.8100   -0.245338    0.969438    0.982662   -0.185405    0.030562    1.215967
2482  24.8200   -0.238829    0.971062    0.990885   -0.134712    0.028938    1.163650
2483  24.8300   -0.230967    0.972961    0.996539   -0.083130    0.027039    1.110168
2484  24.8400   -0.221698    0.975115    0.999529   -0.030697    0.024885    1.055582
2485  24.8500   -0.210958    0.977495    0.999746    0.022549    0.022505    0.999956
2486  24.8600   -0.198678    0.980065    0.997064    0.076574    0.019935    0.943361
2487  24.8700   -0.184778    0.982780    0.991337    0.131343    0.017220    0.885877
2488  24.8800   -0.169167    0.985587    0.982394    0.186820    0.014413    0.827593
2489  24.8900   -0.151738    0.988421    0.970035    0.242965    0.011579    0.768614
2490  24.9000   -0.132369    0.991201    0.954023    0.299733    0.008799    0.709067
2491  24.9100   -0.110918    0.993830    0.934079    0.357068    0.006170    0.649103
2492  24.9200   -0.087221    0.996189    0.909868    0.414897    0.003811    0.588914
2493  24.9300   -0.061088    0.998132    0.880996    0.473123    0.001868    0.528745
2494  24.9400   -0.032299    0.999478    0.846990    0.531609    0.000522    0.468912
2495  24.9500   -0.000607    1.000000    0.807287    0.590159    0.000000    0.409841
2496  24.9600    0.034260    0.999413    0.761231    0.648481    0.000587    0.352106
2497  24.9700    0.072576    0.997363    0.708075    0.706137    0.002637    0.296500
2498  24.9800    0.114569    0.993415    0.647032    0.762463    0.006585    0.244122
2499  24.9900    0.160318    0.987065    0.577404    0.816458    0.012935    0.196476
2500  25.0000    0.209556    0.977797    0.498883    0.866669    0.022203    0.155534
2501  25.0100    0.261416    0.965226    0.412022    0.911174    0.034774    0.123600
2502  25.0200    0.314261    0.949337    0.318713    0.947851    0.050663    0.102812
2503  25.0300    0.365917    0.930647    0.222116    0.975020    0.069353    0.094333
2504  25.0400    0.414359    0.910113    0.125753    0.992062    0.089887    0.097825
2505  25.0500    0.458308    0.888793    0.032398    0.999475    0.111207    0.111732
2506  25.0600    0.497320    0.867567   -0.056359    0.998411    0.132433    0.134022
2507  25.0700    0.531512    0.847050   -0.139903    0.990165    0.152950    0.162784
2508  25.0800    0.561263    0.827638   -0.218191    0.975906    0.172362    0.196456
2509  25.0900    0.587023    0.809571   -0.291448    0.956587    0.190429    0.233843
2510  25.1000    0.609225    0.792997   -0.359995    0.932954    0.207003    0.274048
2511  25.1100    0.628254    0.778008   -0.424160    0.905587    0.221992    0.316404
2512  25.1200    0.644434    0.764660   -0.484242    0.874934    0.235340    0.360406
2513  25.1300    0.658034    0.752988   -0.540499    0.841345    0.247012    0.405667
2514  25.1400    0.669277    0.743013   -0.593141    0.805098    0.256987    0.451889
2515  25.1500    0.678342    0.734747   -0.642339    0.766421    0.265253    0.498833
2516  25.1600    0.685372    0.728193   -0.688222    0.725500    0.271807    0.546307
2517  25.1700    0.690482    0.723349   -0.730887    0.682499    0.276651    0.594152
2518  25.1800    0.693761    0.720205   -0.770398    0.637563    0.279795    0.642231
2519  25.1900    0.695275    0.718744   -0.806797    0.590829    0.281256    0.690427
2520  25.2000    0.695072    0.718940   -0.840102    0.542428    0.281060    0.738632
2521  25.2100    0.693185    0.720760   -0.870316    0.492494    0.279240    0.786745
2522  25.2200    0.689633    0.724159   -0.897425    0.441167    0.275841    0.834674
2523  25.2300    0.684424    0.729084   -0.921410    0.388592    0.270916    0.882324
2524  25.2400    0.677560    0.735467   -0.942244    0.334927    0.264533    0.929606
2525  25.2500    0.669034    0.743231   -0.959900    0.280343    0.256769    0.976426
2526  25.2600    0.658837    0.752286   -0.974354    0.225021    0.247714    1.022693
2527  25.2700    0.646956    0.762527   -0.985589    0.169157    0.237473    1.068316
2528  25.2800    0.633382    0.773839   -0.993600    0.112960    0.226161    1.113201
2529  25.2900    0.618106    0.786095   -0.998394    0.056647    0.213905    1.157259
2530  25.3000    0.601126    0.799154   -1.000000    0.000444    0.200846    1.200401
2531  25.3100    0.582445    0.812870   -0.998463   -0.055415    0.187130    1.242545
2532  25.3200    0.562076    0.827086   -0.993854   -0.110698    0.172914    1.283612
2533  25.3300    0.540041    0.841639   -0.986265   -0.165173    0.158361    1.323534
2534  25.3400    0.516375    0.856362   -0.975812   -0.218612    0.143638    1.362250
2535  25.3500    0.491124    0.871090   -0.962635   -0.270802    0.128910    1.399712
2536  25.3600    0.464347    0.885654   -0.946897   -0.321537    0.114346    1.435884
2537  25.3700    0.436114    0.899891   -0.928779   -0.370634    0.100109    1.470742
2538  25.3800    0.406511    0.913646   -0.908481   -0.417925    0.086354    1.504279
2539  25.3900    0.375633    0.926769   -0.886218   -0.463268    0.073231    1.536500
2540  25.4000    0.343587    0.939121   -0.862215   -0.506543    0.060879    1.567422
2541  25.4100    0.310489    0.950577   -0.836705   -0.547655    0.049423    1.597078
2542  25.4200    0.276466    0.961024   -0.809925   -0.586533    0.038976    1.625510
2543  25.4300    0.241650    0.970364   -0.782115   -0.623135    0.029636    1.652771
2544  25.4400    0.206177    0.978515   -0.753509   -0.657437    0.021485    1.678923
2545  25.4500    0.170190    0.985411   -0.724339   -0.689444    0.014589    1.704032
2546  25.4600    0.133831    0.991004   -0.694828   -0.719176    0.008996    1.728172
2547  25.4700    0.097242    0.995261   -0.665187   -0.746676    0.004739    1.751416
2548  25.4800    0.060566    0.998164   -0.635618   -0.772003    0.001836    1.773839
2549  25.4900    0.023940    0.999713   -0.606308   -0.795230    0.000287    1.795517
2550  25.5000   -0.012502    0.999922   -0.577429   -0.816441    0.000078    1.816519
2551  25.5100   -0.048632    0.998817   -0.549139   -0.835731    0.001183    1.836915
2552  25.5200   -0.084331    0.996438   -0.521579   -0.853203    0.003562    1.856765
2553  25.5300   -0.119486    0.992836   -0.494876   -0.868964    0.007164    1.876128
2554  25.5400   -0.153993    0.988072   -0.469140   -0.883124    0.011928    1.895052
2555  25.5500   -0.187760    0.982215   -0.444467   -0.895795    0.017785    1.913580
2556  25.5600   -0.220701    0.975342   -0.420935   -0.907091    0.024658    1.931749
2557  25.5700   -0.252743    0.967533   -0.398613   -0.917119    0.032467    1.949586
2558  25.5800   -0.283824    0.958876   -0.377552   -0.925988    0.041124    1.967112
2559  25.5900   -0.313889    0.949460   -0.357794   -0.933801    0.050540    1.984341
2560  25.6000   -0.342895    0.939374   -0.339366   -0.940654    0.060626    2.001281
2561  25.6100   -0.370809    0.928709   -0.322289   -0.946641    0.071291    2.017932
2562  25.6200   -0.397606    0.917556   -0.306569   -0.951848    0.082444    2.034292
2563  25.6300   -0.423268    0.906004   -0.292209   -0.956355    0.093996    2.050350
2564  25.6400   -0.447789    0.894139   -0.279200   -0.960233    0.105861    2.066094
2565  25.6500   -0.471165    0.882045   -0.267529   -0.963550    0.117955    2.081505
2566  25.6600   -0.493403    0.869801   -0.257178   -0.966364    0.130199    2.096563
2567  25.6700   -0.514512    0.857483   -0.248121   -0.968729    0.142517    2.111246
2568  25.6800   -0.534507    0.845164   -0.240331   -0.970691    0.154836    2.125527
2569  25.6900   -0.553409    0.832910   -0.233777   -0.972290    0.167090    2.139381
2570  25.7000   -0.571239    0.820784   -0.228425   -0.973562    0.179216    2.152778
2571  25.7100   -0.588024    0.808844   -0.224239   -0.974534    0.191156    2.165691
2572  25.7200   -0.603791    0.797143   -0.221183   -0.975232    0.202857    2.178089
2573  25.7300   -0.618569    0.785730   -0.219220   -0.975675    0.214270    2.189945
2574  25.7400   -0.632389    0.774651   -0.218310   -0.975879    0.225349    2.201229
2575  25.7500   -0.645283    0.763944   -0.218417   -0.975855    0.236056    2.211912
2576  25.7600   -0.657281    0.753646   -0.219503   -0.975612    0.246354    2.221966
2577  25.7700   -0.668414    0.743789   -0.221530   -0.975153    0.256211    2.231364
2578  25.7800   -0.678714    0.734402   -0.224464   -0.974482    0.265598    2.240080
2579  25.7900   -0.688211    0.725511   -0.228267   -0.973598    0.274489    2.248088
2580  25.8000   -0.696933    0.717136   -0.232908   -0.972499    0.282864    2.255363
2581  25.8100   -0.704909    0.709297   -0.238353   -0.971179    0.290703    2.261881
2582  25.8200   -0.712167    0.702010   -0.244571   -0.969631    0.297990    2.267621
2583  25.8300   -0.718731    0.695289   -0.251533   -0.967849    0.304711    2.272560
2584  25.8400   -0.724625    0.689143   -0.259211   -0.965821    0.310857    2.276678
2585  25.8500   -0.729874    0.683582   -0.267577   -0.963536    0.316418    2.279954
2586  25.8600   -0.734497    0.678612   -0.276608   -0.960983    0.321388    2.282371
2587  25.8700   -0.738515    0.674237   -0.286278   -0.958146    0.325763    2.283910
2588  25.8800   -0.741947    0.670459   -0.296567   -0.955012    0.329541    2.284553
2589  25.8900   -0.744808    0.667279   -0.307453   -0.951563    0.332721    2.284284
2590  25.9000   -0.747115    0.664695   -0.318917   -0.947783    0.335305    2.283088
2591  25.9100   -0.748881    0.662704   -0.330940   -0.943652    0.337296    2.280948
2592  25.9200   -0.750121    0.661301   -0.343505   -0.939151    0.338699    2.277850
2593  25.9300   -0.750844    0.660479   -0.356596   -0.934259    0.339521    2.273779
2594  25.9400   -0.751062    0.660231   -0.370197   -0.928953    0.339769    2.268722
2595  25.9500   -0.750785    0.660547   -0.384294   -0.923211    0.339453    2.262664
2596  25.9600   -0.750021    0.661414   -0.398872   -0.917007    0.338586    2.255592
2597  25.9700   -0.748777    0.662822   -0.413916   -0.910315    0.337178    2.247493
2598  25.9800   -0.747062    0.664754   -0.429414   -0.903108    0.335246    2.238354
2599  25.9900   -0.744882    0.667196   -0.445351   -0.895356    0.332804    2.228160
2600  26.0000   -0.742244    0.670130   -0.461714   -0.887029    0.329870    2.216899
2601  26.0100   -0.739153    0.673538   -0.478486   -0.878095    0.326462    2.204557
2602  26.0200   -0.735616    0.677398   -0.495653   -0.868521    0.322602    2.191122
2603  26.0300   -0.731641    0.681691   -0.513198   -0.858270    0.318309    2.176580
2604  26.0400   -0.727232    0.686391   -0.531103   -0.847307    0.313609    2.160916
2605  26.0500   -0.722399    0.691476   -0.549348   -0.835594    0.308524    2.144117
2606  26.0600   -0.717150    0.696919   -0.567912   -0.823089    0.303081    2.126170
2607  26.0700   -0.711492    0.702694   -0.586771   -0.809753    0.297306    2.107059
2608  26.0800   -0.705438    0.708772   -0.605897   -0.795543    0.291228    2.086771
2609  26.0900   -0.698999    0.715123   -0.625263   -0.780414    0.284877    2.065291
2610  26.1000   -0.692187    0.721718   -0.644835   -0.764322    0.278282    2.042604
2611  26.1100   -0.685020    0.728525   -0.664576   -0.747221    0.271475    2.018696
2612  26.1200   -0.677513    0.735511   -0.684447   -0.729063    0.264489    1.993552
2613  26.1300   -0.669686    0.742644   -0.704402   -0.709802    0.257356    1.967157
2614  26.1400   -0.661561    0.749891   -0.724391   -0.689389    0.250109    1.939498
2615  26.1500   -0.653163    0.757217   -0.744361   -0.667777    0.242783    1.910560
2616  26.1600   -0.644519    0.764588   -0.764252   -0.644918    0.235412    1.880330
2617  26.1700   -0.635660    0.771970   -0.783997   -0.620765    0.228030    1.848795
2618  26.1800   -0.626617    0.779327   -0.803524   -0.595272    0.220673    1.815945
2619  26.1900   -0.617428    0.786627   -0.822757   -0.568394    0.213373    1.781767
2620  26.2000   -0.608133    0.793835   -0.841609   -0.540088    0.206165    1.746253
2621  26.2100   -0.598775    0.800918   -0.859988   -0.510314    0.199082    1.709396
2622  26.2200   -0.589399    0.807842   -0.877797   -0.479033    0.192158    1.671191
2623  26.2300   -0.580056    0.814576   -0.894928   -0.446210    0.185424    1.631634
2624  26.2400   -0.570800    0.821089   -0.911268   -0.411815    0.178911    1.590725
2625  26.2500   -0.561686    0.827350   -0.926693   -0.375819    0.172650    1.548469
2626  26.2600   -0.552775    0.833330   -0.941074   -0.338202    0.166670    1.504872
2627  26.2700   -0.544131    0.839000   -0.954270   -0.298946    0.161000    1.459946
2628  26.2800   -0.535821    0.844332   -0.966135   -0.258039    0.155668    1.413707
2629  26.2900   -0.527914    0.849298   -0.976509   -0.215477    0.150702    1.366179
2630  26.3000   -0.520484    0.853871   -0.985225   -0.171263    0.146129    1.317392
2631  26.3100   -0.513607    0.858025   -0.992105   -0.125407    0.141975    1.267382
2632  26.3200   -0.507363    0.861732   -0.996959   -0.077929    0.138268    1.216197
2633  26.3300   -0.501834    0.864964   -0.999583   -0.028859    0.135036    1.163895
2634  26.3400   -0.497104    0.867691   -0.999763    0.021762    0.132309    1.110546
2635  26.3500   -0.493260    0.869882   -0.997267    0.073879    0.130118    1.056239
2636  26.3600   -0.490390    0.871503   -0.991849    0.127420    0.128497    1.001077
2637  26.3700   -0.488585    0.872516   -0.983244    0.182294    0.127484    0.945190
2638  26.3800   -0.487931    0.872882   -0.971171    0.238382    0.127118    0.888735
2639  26.3900   -0.488513    0.872557   -0.955331    0.295538    0.127443    0.831905
2640  26.4000   -0.490409    0.871493   -0.935407    0.353572    0.128507    0.774935
2641  26.4100   -0.493683    0.869642   -0.911074    0.412242    0.130358    0.718116
2642  26.4200   -0.498376    0.866961   -0.882007    0.471237    0.133039    0.661802
2643  26.4300   -0.504496    0.863414   -0.847898    0.530159    0.136586    0.606427
2644  26.4400   -0.511996    0.858988   -0.808494    0.588504    0.141012    0.552509
2645  26.4500   -0.520756    0.853706   -0.763639    0.645643    0.146294    0.500651
2646  26.4600   -0.530557    0.847649   -0.713337    0.700821    0.152351    0.451529
2647  26.4700   -0.541073    0.840976   -0.657814    0.753180    0.159024    0.405844
2648  26.4800   -0.551869    0.833931   -0.597569    0.801817    0.166069    0.364252
2649  26.4900   -0.562439    0.826839   -0.533367    0.845884    0.173161    0.327277
2650  26.5000   -0.572259    0.820073   -0.466173    0.884693    0.179927    0.295233
2651  26.5100   -0.580852    0.814009   -0.397039    0.917802    0.185991    0.268189
2652  26.5200   -0.587839    0.808978   -0.326976    0.945033    0.191022    0.245989
2653  26.5300   -0.592947    0.805242   -0.256872    0.966445    0.194758    0.228313
2654  26.5400   -0.596008    0.802978   -0.187448    0.982274    0.197022    0.214747
2655  26.5500   -0.596933    0.802291   -0.119264    0.992863    0.197709    0.204847
2656  26.5600   -0.595685    0.803218   -0.052738    0.998608    0.196782    0.198174
2657  26.5700   -0.592259    0.805748    0.011816    0.999930    0.194252    0.194322
2658  26.5800   -0.586664    0.809830    0.074165    0.997246    0.190170    0.192924
2659  26.5900   -0.578918    0.815386    0.134134    0.990963    0.184614    0.193651
2660  26.6000   -0.569040    0.822310    0.191590    0.981475    0.177690    0.196215
2661  26.6100   -0.557047    0.830481    0.246430    0.969161    0.169519    0.200359
2662  26.6200   -0.542956    0.839761    0.298576    0.954386    0.160239    0.205853
2663  26.6300   -0.526781    0.850001    0.347970    0.937506    0.149999    0.212493
2664  26.6400   -0.508540    0.861038    0.394570    0.918866    0.138962    0.220095
2665  26.6500   -0.488250    0.872704    0.438352    0.898803    0.127296    0.228492
2666  26.6600   -0.465933    0.884820    0.479307    0.877647    0.115180    0.237533
2667  26.6700   -0.441617    0.897204    0.517443    0.855718    0.102796    0.247079
2668  26.6800   -0.415337    0.909668    0.552780    0.833327    0.090332    0.257005
2669  26.6900   -0.387133    0.922024    0.585355    0.810777    0.077976    0.267199
2670  26.7000   -0.357056    0.934083    0.615215    0.788359    0.065917    0.277558
2671  26.7100   -0.325163    0.945658    0.642423    0.766351    0.054342    0.287991
2672  26.7200   -0.291522    0.956564    0.667048    0.745015    0.043436    0.298421
2673  26.7300   -0.256206    0.966622    0.689169    0.724601    0.033378    0.308777
2674  26.7400   -0.219297    0.975658    0.708870    0.705339    0.024342    0.319003
2675  26.7500   -0.180885    0.983504    0.726239    0.687442    0.016496    0.329054
2676  26.7600   -0.141061    0.990001    0.741363    0.671104    0.009999    0.338895
2677  26.7700   -0.099924    0.994995    0.754325    0.656501    0.005005    0.348504
2678  26.7800   -0.057575    0.998341    0.765205    0.643787    0.001659    0.357872
2679  26.7900   -0.014118    0.999900    0.774071    0.633099    0.000100    0.367001
2680  26.8000    0.030342    0.999540    0.780983    0.624552    0.000460    0.375908
2681  26.8100    0.075696    0.997131    0.785988    0.618242    0.002869    0.384627
2682  26.8200    0.121834    0.992550    0.789115    0.614245    0.007450    0.393204
2683  26.8300    0.168643    0.985677    0.790382    0.612614    0.014323    0.401709
2684  26.8400    0.216002    0.976393    0.789790    0.613378    0.023607    0.410229
2685  26.8500    0.263781    0.964583    0.787324    0.616539    0.035417    0.418878
2686  26.8600    0.311834    0.950137    0.782964    0.622067    0.049863    0.427797
2687  26.8700    0.359997    0.932954    0.776684    0.629890    0.067046    0.437156
2688  26.8800    0.408071    0.912950    0.768466    0.639890    0.087050    0.447159
2689  26.8900    0.455823    0.890070    0.758316    0.651887    0.109930    0.458042
2690  26.9000    0.502971    0.864304    0.746282    0.665630    0.135696    0.470066
2691  26.9100    0.549182    0.835703    0.732478    0.680791    0.164297    0.483506
2692  26.9200    0.594081    0.804405    0.717104    0.696967    0.195595    0.498628
2693  26.9300    0.637263    0.770646    0.700455    0.713696    0.229354    0.515658
2694  26.9400    0.678330    0.734757    0.682919    0.730494    0.265243    0.534749
2695  26.9500    0.716927    0.697149    0.664940    0.746896    0.302851    0.555955
2696  26.9600    0.752778    0.658275    0.646982    0.762506    0.341725    0.579220
2697  26.9700    0.785714    0.618591    0.629474    0.777022    0.381409    0.604388
2698  26.9800    0.815669    0.578518    0.612779    0.790255    0.421482    0.631227
2699  26.9900    0.842675    0.538423    0.597173    0.802113    0.461577    0.659464
2700  27.0000    0.866830    0.498605    0.582844    0.812584    0.501395    0.688812
2701  27.0100    0.888281    0.459300    0.569904    0.821711    0.540700    0.718989
2702  27.0200    0.907204    0.420690    0.558401    0.829571    0.579310    0.749739
2703  27.0300    0.923785    0.382912    0.548337    0.836258    0.617088    0.780830
2704  27.0400    0.938210    0.346067    0.539679    0.841871    0.653933    0.812062
2705  27.0500    0.950662    0.310230    0.532375    0.846509    0.689770    0.843261
2706  27.0600    0.961314    0.275455    0.526353    0.850266    0.724545    0.874279
2707  27.0700    0.970331    0.241780    0.521537    0.853228    0.758220    0.904992
2708  27.0800    0.977866    0.209232    0.517844    0.855475    0.790768    0.935293
2709  27.0900    0.984061    0.177831    0.515188    0.857077    0.822169    0.965092
2710  27.1000    0.989049    0.147587    0.513485    0.858098    0.852413    0.994315
2711  27.1100    0.992953    0.118507    0.512652    0.858597    0.881493    1.022896
2712  27.1200    0.995888    0.090594    0.512605    0.858624    0.909406    1.050782
2713  27.1300    0.997960    0.063846    0.513268    0.858229    0.936154    1.077926
2714  27.1400    0.999268    0.038259    0.514563    0.857453    0.961741    1.104289
2715  27.1500    0.999904    0.013826    0.516418    0.856337    0.986174    1.129837
2716  27.1600    0.999955   -0.009459    0.518765    0.854917    1.009459    1.154542
2717  27.1700    0.999500   -0.031607    0.521537    0.853228    1.031607    1.178379
2718  27.1800    0.998614   -0.052630    0.524674    0.851303    1.052630    1.201326
2719  27.1900    0.997366   -0.072539    0.528115    0.849173    1.072539    1.223366
2720  27.2000    0.995819   -0.091346    0.531808    0.846865    1.091346    1.244481
2721  27.2100    0.994034   -0.109067    0.535700    0.844409    1.109067    1.264659
2722  27.2200    0.992066   -0.125715    0.539743    0.841830    1.125715    1.283886
2723  27.2300    0.989966   -0.141305    0.543895    0.839153    1.141305    1.302151
2724  27.2400    0.987781   -0.155850    0.548112    0.836405    1.155850    1.319446
2725  27.2500    0.985553   -0.169367    0.552359    0.833606    1.169367    1.335761
2726  27.2600    0.983323   -0.181869    0.556600    0.830781    1.181869    1.351088
2727  27.2700    0.981126   -0.193371    0.560803    0.827949    1.193371    1.365422
2728  27.2800    0.978995   -0.203886    0.564941    0.825131    1.203886    1.378755
2729  27.2900    0.976959   -0.213428    0.568988    0.822346    1.213428    1.391082
2730  27.3000    0.975044   -0.222010    0.572920    0.819611    1.222010    1.402398
2731  27.3100    0.973275   -0.229642    0.576719    0.816943    1.229642    1.412699
2732  27.3200    0.971671   -0.236336    0.580366    0.814356    1.236336    1.421980
2733  27.3300    0.970251   -0.242102    0.583846    0.811864    1.242102    1.430238
2734  27.3400    0.969028   -0.246949    0.587147    0.809480    1.246949    1.437469
2735  27.3500    0.968017   -0.250885    0.590259    0.807214    1.250885    1.443671
2736  27.3600    0.967226   -0.253916    0.593173    0.805075    1.253916    1.448841
2737  27.3700    0.966664   -0.256047    0.595884    0.803071    1.256047    1.452976
2738  27.3800    0.966336   -0.257283    0.598388    0.801207    1.257283    1.456076
2739  27.3900    0.966244   -0.257627    0.600682    0.799488    1.257627    1.458139
2740  27.4000    0.966390   -0.257080    0.602768    0.797916    1.257080    1.459164
2741  27.4100    0.966772   -0.255642    0.604648    0.796493    1.255642    1.459149
2742  27.4200    0.967385   -0.253312    0.606326    0.795216    1.253312    1.458096
2743  27.4300    0.968223   -0.250088    0.607808    0.794084    1.250088    1.456004
2744  27.4400    0.969279   -0.245966    0.609102    0.793092    1.245966    1.452873
2745  27.4500    0.970540   -0.240940    0.610218    0.792234    1.240940    1.448706
2746  27.4600    0.971994   -0.235004    0.611169    0.791500    1.235004    1.443504
2747  27.4700    0.973626   -0.228150    0.611968    0.790883    1.228150    1.437268
2748  27.4800    0.975416   -0.220370    0.612632    0.790368    1.220370    1.430001
2749  27.4900    0.977345   -0.211652    0.613179    0.789944    1.211652    1.421708
2750  27.5000    0.979388   -0.201987    0.613628    0.789595    1.201987    1.412392
2751  27.5100    0.981520   -0.191360    0.614004    0.789303    1.191360    1.402057
2752  27.5200    0.983711   -0.179759    0.614330    0.789049    1.179759    1.390710
2753  27.5300    0.985928   -0.167170    0.614634    0.788812    1.167170    1.378358
2754  27.5400    0.988137   -0.153577    0.614945    0.788570    1.153577    1.365007
2755  27.5500    0.990297   -0.138965    0.615295    0.788297    1.138965    1.350668
2756  27.5600    0.992367   -0.123316    0.615719    0.787965    1.123316    1.335350
2757  27.5700    0.994301   -0.106613    0.616254    0.787547    1.106613    1.319066
2758  27.5800    0.996046   -0.088839    0.616940    0.787010    1.088839    1.301829
2759  27.5900    0.997549   -0.069976    0.617819    0.786321    1.069976    1.283655
2760  27.6000    0.998749   -0.050006    0.618935    0.785442    1.050006    1.264564
2761  27.6100    0.999582   -0.028910    0.620338    0.784335    1.028910    1.244575
2762  27.6200    0.999978   -0.006671    0.622077    0.782956    1.006671    1.223714
2763  27.6300    0.999860    0.016728    0.624204    0.781261    0.983272    1.202010
2764  27.6400    0.999147    0.041304    0.626776    0.779199    0.958696    1.179496
2765  27.6500    0.997748    0.067072    0.629849    0.776718    0.932928    1.156210
2766  27.6600    0.995568    0.094045    0.633482    0.773757    0.905955    1.132198
2767  27.6700    0.992501    0.122234    0.637735    0.770256    0.877766    1.107510
2768  27.6800    0.988435    0.151645    0.642668    0.766145    0.848355    1.082210
2769  27.6900    0.983246    0.182282    0.648339    0.761352    0.817718    1.056366
2770  27.7000    0.976803    0.214138    0.654804    0.755799    0.785862    1.030063
2771  27.7100    0.968964    0.247202    0.662115    0.749403    0.752798    1.003395
2772  27.7200    0.959577    0.281448    0.670313    0.742079    0.718552    0.976474
2773  27.7300    0.948482    0.316832    0.679428    0.733742    0.683168    0.949426
2774  27.7400    0.935514    0.353290    0.689473    0.724311    0.646710    0.922398
2775  27.7500    0.920505    0.390731    0.700433    0.713718    0.609269    0.895551
2776  27.7600    0.903293    0.429024    0.712261    0.701914    0.570976    0.869062
2777  27.7700    0.883731    0.467996    0.724870    0.688885    0.532004    0.843119
2778  27.7800    0.861698    0.507422    0.738122    0.674668    0.492578    0.817911
2779  27.7900    0.837118    0.547022    0.751825    0.659362    0.452978    0.793616
2780  27.8000    0.809974    0.586466    0.765740    0.643151    0.413534    0.770383
2781  27.8100    0.780317    0.625384    0.779585    0.626297    0.374616    0.748319
2782  27.8200    0.748273    0.663391    0.793061    0.609142    0.336609    0.727467
2783  27.8300    0.714033    0.700112    0.805879    0.592080    0.299888    0.707808
2784  27.8400    0.677838    0.735212    0.817781    0.575529    0.264788    0.689259
2785  27.8500    0.639954    0.768413    0.828562    0.559898    0.231587    0.671689
2786  27.8600    0.600654    0.799509    0.838074    0.545556    0.200491    0.654935
2787  27.8700    0.560197    0.828360    0.846228    0.532821    0.171640    0.638819
2788  27.8800    0.518820    0.854884    0.852978    0.521948    0.145116    0.623169
2789  27.8900    0.476735    0.879047    0.858309    0.513133    0.120953    0.607820
2790  27.9000    0.434131    0.900850    0.862227    0.506522    0.099150    0.592628
2791  27.9100    0.391174    0.920317    0.864742    0.502216    0.079683    0.577467
2792  27.9200    0.348015    0.937489    0.865865    0.500277    0.062511    0.562234
2793  27.9300    0.304792    0.952419    0.865598    0.500740    0.047581    0.546841
2794  27.9400    0.261636    0.965167    0.863929    0.503613    0.034833    0.531220
2795  27.9500    0.218673    0.975798    0.860835    0.508883    0.024202    0.515318
2796  27.9600    0.176023    0.984386    0.856277    0.516517    0.015614    0.499097
2797  27.9700    0.133810    0.991007    0.850198    0.526463    0.008993    0.482530
2798  27.9800    0.092153    0.995745    0.842528    0.538652    0.004255    0.465603
