# Step   Time     sin1        cos1        sin2        cos2        h1          h2 
84   0.8400   -0.374150    0.927368    0.228771    0.973480    0.072632    0.099151
85   0.8500   -0.406651    0.913584    0.199854    0.979826    0.086416    0.106591
86   0.8600   -0.437242    0.899344    0.168630    0.985679    0.100656    0.114977
87   0.8700   -0.465913    0.884830    0.135148    0.990825    0.115170    0.124344
88   0.8800   -0.492664    0.870220    0.099469    0.995041    0.129780    0.134740
89   0.8900   -0.517502    0.855682    0.061670    0.998097    0.144318    0.146221
90   0.9000   -0.540443    0.841380    0.021842    0.999761    0.158620    0.158858
91   0.9100   -0.561511    0.827469   -0.019908    0.999802    0.172531    0.172729
92   0.9200   -0.580734    0.814093   -0.063455    0.997985    0.185907    0.187922
93   0.9300   -0.598150    0.801384   -0.108655    0.994080    0.198616    0.204536
94   0.9400   -0.613798    0.789463   -0.155344    0.987860    0.210537    0.222677
95   0.9500   -0.627727    0.778433   -0.203336    0.979109    0.221567    0.242458
96   0.9600   -0.639989    0.768384   -0.252420    0.967618    0.231616    0.263999
97   0.9700   -0.650645    0.759382   -0.302357    0.953195    0.240618    0.287423
98   0.9800   -0.659761    0.751476   -0.352877    0.935670    0.248524    0.312854
99   0.9900   -0.667416    0.744685   -0.403676    0.914902    0.255315    0.340413
100   1.0000   -0.673700    0.739005   -0.454417    0.890789    0.260995    0.370206
101   1.0100   -0.678720    0.734398   -0.504725    0.863280    0.265602    0.402322
102   1.0200   -0.682598    0.730794   -0.554195    0.832387    0.269206    0.436819
103   1.0300   -0.685477    0.728094   -0.602400    0.798194    0.271906    0.473712
104   1.0400   -0.687518    0.726167   -0.648907    0.760868    0.273833    0.512965
105   1.0500   -0.688895    0.724861   -0.693293    0.720656    0.275139    0.554483
106   1.0600   -0.689789    0.724010   -0.735171    0.677881    0.275990    0.598109
107   1.0700   -0.690383    0.723444   -0.774212    0.632927    0.276556    0.643630
108   1.0800   -0.690848    0.723000   -0.810158    0.586212    0.277000    0.690788
109   1.0900   -0.691334    0.722535   -0.842838    0.538168    0.277465    0.739297
110   1.1000   -0.691970    0.721926   -0.872161    0.489219    0.278074    0.788855
111   1.1100   -0.692856    0.721076   -0.898116    0.439758    0.278924    0.839166
112   1.1200   -0.694064    0.719914   -0.920755    0.390140    0.280086    0.889946
113   1.1300   -0.695640    0.718391   -0.940181    0.340675    0.281609    0.940934
114   1.1400   -0.697609    0.716479   -0.956533    0.291624    0.283521    0.991897
115   1.1500   -0.699977    0.714166   -0.969974    0.243207    0.285834    1.042627
116   1.1600   -0.702736    0.711451   -0.980683    0.195602    0.288549    1.092946
117   1.1700   -0.705866    0.708345   -0.988844    0.148953    0.291655    1.142702
118   1.1800   -0.709341    0.704866   -0.994643    0.103372    0.295134    1.191762
119   1.1900   -0.713127    0.701035   -0.998261    0.058947    0.298965    1.240019
120   1.2000   -0.717189    0.696878   -0.999876    0.015743    0.303122    1.287379
121   1.2100   -0.721488    0.692427   -0.999657   -0.026191    0.307573    1.333764
122   1.2200   -0.725985    0.687711   -0.997765   -0.066824    0.312289    1.379113
123   1.2300   -0.730639    0.682764   -0.994352   -0.106134    0.317236    1.423370
124   1.2400   -0.735413    0.677619   -0.989561   -0.144113    0.322381    1.466495
125   1.2500   -0.740269    0.672310   -0.983527   -0.180761    0.327690    1.508450
126   1.2600   -0.745171    0.666873   -0.976375   -0.216083    0.333127    1.549210
127   1.2700   -0.750084    0.661342   -0.968222   -0.250093    0.338658    1.588750
128   1.2800   -0.754977    0.655752   -0.959177   -0.282808    0.344248    1.627056
129   1.2900   -0.759817    0.650137   -0.949340   -0.314250    0.349863    1.664113
130   1.3000   -0.764578    0.644531   -0.938807   -0.344445    0.355469    1.699914
131   1.3100   -0.769232    0.638969   -0.927662   -0.373421    0.361031    1.734452
132   1.3200   -0.773756    0.633483   -0.915987   -0.401207    0.366517    1.767724
133   1.3300   -0.778127    0.628107   -0.903856   -0.427836    0.371893    1.799729
134   1.3400   -0.782324    0.622871   -0.891337   -0.453340    0.377129    1.830469
135   1.3500   -0.786329    0.617808   -0.878494   -0.477754    0.382192    1.859946
136   1.3600   -0.790124    0.612947   -0.865383   -0.501111    0.387053    1.888164
137   1.3700   -0.793694    0.608317   -0.852059   -0.523446    0.391683    1.915129
138   1.3800   -0.797025    0.603946   -0.838571   -0.544792    0.396054    1.940846
139   1.3900   -0.800103    0.599863   -0.824965   -0.565185    0.400137    1.965322
140   1.4000   -0.802917    0.596091   -0.811281   -0.584656    0.403909    1.988565
141   1.4100   -0.805455    0.592657   -0.797561   -0.603239    0.407343    2.010582
142   1.4200   -0.807707    0.589584   -0.783838   -0.620965    0.410416    2.031381
143   1.4300   -0.809664    0.586894   -0.770147   -0.637866    0.413106    2.050972
144   1.4400   -0.811316    0.584608   -0.756520   -0.653971    0.415392    2.069363
145   1.4500   -0.812655    0.582745   -0.742985   -0.669308    0.417255    2.086563
146   1.4600   -0.813671    0.581325   -0.729570   -0.683906    0.418675    2.102581
147   1.4700   -0.814357    0.580364   -0.716301   -0.697791    0.419636    2.117427
148   1.4800   -0.814703    0.579879   -0.703205   -0.710987    0.420121    2.131109
149   1.4900   -0.814700    0.579882   -0.690304   -0.723519    0.420118    2.143637
150   1.5000   -0.814340    0.580388   -0.677624   -0.735409    0.419612    2.155021
151   1.5100   -0.813612    0.581408   -0.665186   -0.746677    0.418592    2.165269
152   1.5200   -0.812506    0.582953   -0.653015   -0.757345    0.417047    2.174392
153   1.5300   -0.811011    0.585031   -0.641133   -0.767430    0.414969    2.182399
154   1.5400   -0.809115    0.587650   -0.629562   -0.776950    0.412350    2.189300
155   1.5500   -0.806807    0.590816   -0.618327   -0.785921    0.409184    2.195105
156   1.5600   -0.804071    0.594533   -0.607451   -0.794357    0.405467    2.199824
157   1.5700   -0.800894    0.598806   -0.596958   -0.802273    0.401194    2.203467
158   1.5800   -0.797261    0.603635   -0.586873   -0.809679    0.396365    2.206045
159   1.5900   -0.793154    0.609021   -0.577221   -0.816588    0.390979    2.207567
160   1.6000   -0.788557    0.614962   -0.568029   -0.823008    0.385038    2.208046
161   1.6100   -0.783449    0.621456   -0.559325   -0.828948    0.378544    2.207493
162   1.6200   -0.777812    0.628497   -0.551136   -0.834415    0.371503    2.205918
163   1.6300   -0.771624    0.636079   -0.543493   -0.839414    0.363921    2.203335
164   1.6400   -0.764863    0.644193   -0.536424   -0.843948    0.355807    2.199755
165   1.6500   -0.757505    0.652830   -0.529963   -0.848021    0.347170    2.195191
166   1.6600   -0.749525    0.661976   -0.524141   -0.851632    0.338024    2.189656
167   1.6700   -0.740900    0.671616   -0.518991   -0.854779    0.328384    2.183164
168   1.6800   -0.731601    0.681733   -0.514549   -0.857461    0.318267    2.175728
169   1.6900   -0.721602    0.692308   -0.510849   -0.859670    0.307692    2.167362
170   1.7000   -0.710876    0.703318   -0.507928   -0.861400    0.296682    2.158082
171   1.7100   -0.699393    0.714737   -0.505821   -0.862638    0.285263    2.147901
172   1.7200   -0.687126    0.726538   -0.504566   -0.863373    0.273462    2.136835
173   1.7300   -0.674046    0.738689   -0.504199   -0.863587    0.261311    2.124898
174   1.7400   -0.660126    0.751155   -0.504758   -0.863261    0.248845    2.112106
175   1.7500   -0.645337    0.763898   -0.506277   -0.862371    0.236102    2.098473
176   1.7600   -0.629654    0.776875   -0.508793   -0.860889    0.223125    2.084014
177   1.7700   -0.613052    0.790042   -0.512339   -0.858783    0.209958    2.068741
178   1.7800   -0.595508    0.803349   -0.516946   -0.856018    0.196651    2.052669
179   1.7900   -0.577002    0.816743   -0.522643   -0.852552    0.183257    2.035809
180   1.8000   -0.557517    0.830166   -0.529456   -0.848337    0.169834    2.018172
181   1.8100   -0.537039    0.843557   -0.537406   -0.843323    0.156443    1.999766
182   1.8200   -0.515560    0.856853   -0.546510   -0.837453    0.143147    1.980599
183   1.8300   -0.493077    0.869986   -0.556777   -0.830662    0.130014    1.960676
184   1.8400   -0.469590    0.882885   -0.568212   -0.822882    0.117115    1.939998
185   1.8500   -0.445110    0.895476   -0.580809   -0.814040    0.104524    1.918564
186   1.8600   -0.419652    0.907685   -0.594554   -0.804055    0.092315    1.896371
187   1.8700   -0.393242    0.919435   -0.609425   -0.792844    0.080565    1.873409
188   1.8800   -0.365912    0.930650   -0.625384   -0.780317    0.069350    1.849668
189   1.8900   -0.337704    0.941252   -0.642384   -0.766383    0.058748    1.825130
190   1.9000   -0.308671    0.951169   -0.660364   -0.750946    0.048831    1.799777
191   1.9100   -0.278876    0.960327   -0.679246   -0.733911    0.039673    1.773584
192   1.9200   -0.248392    0.968660   -0.698939   -0.715181    0.031340    1.746522
193   1.9300   -0.217301    0.976105   -0.719335   -0.694663    0.023895    1.718559
194   1.9400   -0.185698    0.982607   -0.740309   -0.672267    0.017393    1.689660
195   1.9500   -0.153686    0.988120   -0.761720   -0.647906    0.011880    1.659786
196   1.9600   -0.121378    0.992606   -0.783410   -0.621505    0.007394    1.628899
197   1.9700   -0.088896    0.996041   -0.805204   -0.592998    0.003959    1.596957
198   1.9800   -0.056368    0.998410   -0.826913   -0.562329    0.001590    1.563919
199   1.9900   -0.023930    0.999714   -0.848335   -0.529461    0.000286    1.529747
200   2.0000    0.008280    0.999966   -0.869252   -0.494370    0.000034    1.494404
201   2.0100    0.040117    0.999195   -0.889439   -0.457053    0.000805    1.457858
202   2.0200    0.071437    0.997445   -0.908663   -0.417529    0.002555    1.420084
203   2.0300    0.102097    0.994774   -0.926686   -0.375837    0.005226    1.381062
204   2.0400    0.131954    0.991256   -0.943266   -0.332037    0.008744    1.340781
205   2.0500    0.160871    0.986975   -0.958165   -0.286216    0.013025    1.299241
206   2.0600    0.188715    0.982032   -0.971147   -0.238481    0.017968    1.256449
207   2.0700    0.215360    0.976535   -0.981985   -0.188961    0.023465    1.212426
208   2.0800    0.240687    0.970603   -0.990459   -0.137806    0.029397    1.167203
209   2.0900    0.264588    0.964362   -0.996365   -0.085183    0.035638    1.120822
210   2.1000    0.286961    0.957942   -0.999511   -0.031278    0.042058    1.073336
211   2.1100    0.307716    0.951478   -0.999719    0.023712    0.048522    1.024809
212   2.1200    0.326768    0.945104   -0.996829    0.079578    0.054896    0.975317
213   2.1300    0.344045    0.938953   -0.990695    0.136104    0.061047    0.924943
214   2.1400    0.359476    0.933154   -0.981186    0.193066    0.066846    0.873779
215   2.1500    0.373000    0.927831   -0.968184    0.250240    0.072169    0.821929
216   2.1600    0.384557    0.923101   -0.951581    0.307398    0.076899    0.769501
217   2.1700    0.394088    0.919073   -0.931277    0.364311    0.080927    0.716616
218   2.1800    0.401533    0.915844   -0.907175    0.420754    0.084156    0.663402
219   2.1900    0.406828    0.913505   -0.879176    0.476497    0.086495    0.609998
220   2.2000    0.409901    0.912130   -0.847177    0.531310    0.087870    0.556560
221   2.2100    0.410668    0.911785   -0.811064    0.584957    0.088215    0.503258
222   2.2200    0.409030    0.912521   -0.770704    0.637193    0.087479    0.450286
223   2.2300    0.404869    0.914375   -0.725943    0.687754    0.085625    0.397871
224   2.2400    0.398043    0.917367   -0.676596    0.736354    0.082633    0.346279
225   2.2500    0.388379    0.921500   -0.622443    0.782665    0.078500    0.295835
226   2.2600    0.375670    0.926753   -0.563224    0.826304    0.073247    0.246942
227   2.2700    0.359674    0.933078   -0.498638    0.866810    0.066922    0.200112
228   2.2800    0.340110    0.940386   -0.428355    0.903611    0.059614    0.156004
229   2.2900    0.316676    0.948534   -0.352042    0.935984    0.051466    0.115482
230   2.3000    0.289086    0.957303   -0.269442    0.963017    0.042697    0.079680
231   2.3100    0.257149    0.966372   -0.180513    0.983573    0.033628    0.050056
232   2.3200    0.220928    0.975290   -0.085688    0.996322    0.024710    0.028388
233   2.3300    0.180969    0.983489    0.013778    0.999905    0.016511    0.016606
234   2.3400    0.138492    0.990364    0.115565    0.993300    0.009636    0.016337
235   2.3500    0.095322    0.995447    0.216506    0.976281    0.004553    0.028272
236   2.3600    0.053425    0.998572    0.313398    0.949622    0.001428    0.051806
237   2.3700    0.014355    0.999897    0.403882    0.914811    0.000103    0.085292
238   2.3800   -0.021001    0.999779    0.486756    0.873538    0.000221    0.126682
239   2.3900   -0.052324    0.998630    0.561738    0.827315    0.001370    0.174055
240   2.4000   -0.079644    0.996823    0.629073    0.777346    0.003177    0.225831
